state,ChildPovertyRate,ChildPovertyCount,Under18
Alabama,0.22740881847326117,244726,1076150
Alaska,0.13841323565432317,24864,179636
Arizona,0.1999670778825488,321919,1609860
Arkansas,0.21998239015241078,151653,689387
California,0.1679564339557513,1480649,8815673
Colorado,0.11547719810552647,143390,1241717
Connecticut,0.1302913439146448,94665,726564
Delaware,0.1720532319391635,34390,199880
District of Columbia,0.22832311744379918,28347,124153
Florida,0.18666727457688123,773801,4145349
Georgia,0.20087456453197297,495477,2466599
Hawaii,0.11697499120361599,34575,295576
Idaho,0.14368696889667346,63003,438474
Illinois,0.16158495085678543,454654,2813715
Indiana,0.17560789704268065,269559,1535005
Iowa,0.1330811780493368,95105,714639
Kansas,0.13938604179159556,96696,693728
Kentucky,0.22158160050409578,218023,983940
Louisiana,0.2633991214479367,284760,1081097
Maine,0.13990324594257178,34067,243504
Maryland,0.1162164701888188,153356,1319572
Massachusetts,0.12239114802913262,164081,1340628
Michigan,0.1876601764138301,398119,2121489
Minnesota,0.1159736320240792,147958,1275790
Mississippi,0.2757419592855516,191339,693906
Missouri,0.1735478084235532,233927,1347911
Montana,0.15156200977096498,33815,223110
Nebraska,0.12206112936830123,56828,465570
Nevada,0.1761546898845569,119005,675571
New Hampshire,0.08917952,22509,252401
New Jersey,0.13342271281935986,257552,1930346
New Mexico,0.25558452169371887,121373,474884
New York,0.18680232603258437,746203,3994613
North Carolina,0.20008331958678086,452423,2261173
North Dakota,0.11116887568555758,19459,175040
Ohio,0.1912867074726116,486835,2545054
Oklahoma,0.2073276656787171,194537,938307
Oregon,0.1502008591061239,127349,847858
Pennsylvania,0.16703971342626114,434413,2600657
Rhode Island,0.15645605686613012,31629,202159
South Carolina,0.21199307121637218,231061,1089946
South Dakota,0.16058137935287392,33852,210809
Tennessee,0.20828192046491198,308226,1479850
Texas,0.20049667686921907,1462277,7293273
Utah,0.09940746,91046,915887
Vermont,0.12316030668899268,13975,113470
Virginia,0.1314293857432918,241637,1838531
Washington,0.125564724,204059,1625130
West Virginia,0.2312612511251125,82218,355520
Wisconsin,0.1416179656707946,177140,1250830
Wyoming,0.12268379815386482,16175,131843
