,state,College,HighSchool
0,Alabama,26.2,86.9
1,Alaska,30.0,93.1
2,Arizona,30.3,87.9
3,Arkansas,23.8,87.2
4,California,34.7,83.9
5,Colorado,41.6,92.1
6,Connecticut,40.0,90.9
7,Delaware,32.7,90.6
8,District of Columbia,59.8,91.9
9,Florida,30.5,88.5
10,Georgia,32.2,87.9
11,Hawaii,33.6,92.5
12,Idaho,28.7,91.3
13,Illinois,35.5,89.7
14,Indiana,27.2,89.3
15,Iowa,29.3,92.5
16,Kansas,33.9,91.4
17,Kentucky,25.0,87.2
18,Louisiana,24.9,85.9
19,Maine,32.5,93.2
20,Maryland,40.9,90.6
21,Massachusetts,44.5,91.1
22,Michigan,30.0,91.3
23,Minnesota,36.8,93.4
24,Mississippi,22.8,85.3
25,Missouri,29.9,90.6
26,Montana,33.1,94.0
27,Nebraska,32.5,91.6
28,Nevada,25.5,86.9
29,New Hampshire,37.6,93.3
30,New Jersey,40.7,90.3
31,New Mexico,28.1,86.5
32,New York,37.5,87.2
33,North Carolina,32.0,88.5
34,North Dakota,30.7,93.1
35,Ohio,28.9,90.8
36,Oklahoma,26.1,88.6
37,Oregon,34.4,91.1
38,Pennsylvania,32.3,91.0
39,Rhode Island,35.0,89.2
40,South Carolina,29.0,88.3
41,South Dakota,29.3,92.2
42,Tennessee,28.2,88.2
43,Texas,30.7,84.4
44,Utah,34.7,93.0
45,Vermont,39.7,93.5
46,Virginia,39.5,90.3
47,Washington,36.7,91.7
48,West Virginia,21.3,87.6
49,Wisconsin,30.8,92.6
50,Wyoming,28.2,93.6
51,United States,32.849886372016314,88.51203704751622
