,state,deathRatePer100k2021,GunViolenceTotalDeaths2021,GunViolenceTotalDeaths2020,deathRatePer100k
0,Alabama,25.56857014139322,1315.0,1141.0,22.185352495307733
1,Alaska,24.811324870217685,182.0,175.0,23.85704314444008
2,Arizona,18.207273198733787,1365.0,1265.0,16.87340703032838
3,Arkansas,22.595870588463804,698.0,673.0,21.78656290263057
4,California,9.195220234010126,3576.0,3449.0,8.868656204446568
5,Colorado,17.990656694477224,1064.0,922.0,15.589648000289474
6,Connecticut,6.8401603465975445,248.0,219.0,6.040302886713154
7,Delaware,15.129447746430456,158.0,135.0,12.92705978334248
8,Florida,13.675180344161026,3142.0,3041.0,13.23558988752186
9,Georgia,19.739255205600493,2200.0,1897.0,17.020621420465517
10,Hawaii,4.961991841367217,71.0,50.0,3.494360451667055
11,Idaho,15.524080914122193,309.0,321.0,16.126957842825966
12,Illinois,15.938498328215305,1995.0,1745.0,13.941192773301106
13,Indiana,18.15115340350812,1251.0,1159.0,16.81629639861384
14,Iowa,11.3243412671129,364.0,351.0,10.919900507573152
15,Kansas,17.08341597676384,503.0,494.0,16.777748494078203
16,Kentucky,20.855608495962667,947.0,902.0,19.86458169309221
17,Louisiana,28.819107463030285,1314.0,1183.0,25.94596965659424
18,Maine,12.695188523549575,178.0,153.0,10.91215642754542
19,Maryland,14.766340811987364,915.0,803.0,12.958876144290551
20,Massachusetts,3.5184894483777773,247.0,268.0,3.817632275972648
21,Michigan,15.376585424052664,1544.0,1454.0,14.480281869541823
22,Minnesota,9.945274953007274,573.0,513.0,8.903884905571957
23,Mississippi,32.71605861955917,962.0,818.0,27.81885233970832
24,Missouri,22.750880751918217,1414.0,1426.0,22.943957533405506
25,Montana,24.50238285673281,280.0,238.0,20.827025428222893
26,Nebraska,10.056831152844726,200.0,197.0,9.905978685552055
27,Nevada,19.71390852061287,633.0,547.0,17.035557599960885
28,New Hampshire,8.75379420043342,123.0,128.0,9.109639493133963
29,New Jersey,5.0960935492575,475.0,443.0,4.75277777330752
30,New Mexico,27.325168560360733,578.0,479.0,22.644906125281643
31,New York,5.536941570165685,1078.0,1052.0,5.403397524874119
32,North Carolina,16.75623828190881,1839.0,1699.0,15.480613834128912
33,North Dakota,16.22430096078282,128.0,100.0,12.67523512561158
34,Ohio,16.178225632150834,1911.0,1764.0,14.93374673737
35,Oklahoma,20.44821209002986,836.0,826.0,20.20361625163237
36,Oregon,15.849221389257586,670.0,592.0,14.004088152896257
37,Pennsylvania,14.708976529337846,1905.0,1752.0,13.52762565847764
38,Rhode Island,5.828344331297663,64.0,54.0,4.917665529532403
39,South Carolina,20.790039814024308,1136.0,1131.0,20.698534357096385
40,South Dakota,13.781712743885173,128.0,120.0,12.920355697392347
41,Tennessee,21.7795608607549,1569.0,1473.0,20.446968226827256
42,Texas,14.89181209884031,4613.0,4164.0,13.44233808358358
43,Utah,13.02749786349035,450.0,429.0,12.419547963194132
44,Vermont,12.81224047494821,83.0,76.0,11.731690073446554
45,Virginia,14.259113921751055,1248.0,1174.0,13.413621589852356
46,Washington,11.426701472195305,896.0,864.0,11.018604991045471
47,West Virginia,18.062325782073227,319.0,325.0,18.402056047566766
48,Wisconsin,13.36959928461685,793.0,717.0,12.088275771841468
49,Wyoming,26.428638413599664,155.0,154.0,26.2581310689958
50,United States,14.483222542114513,745.5,695.0,13.41436101623948
